Ga	-2.647561850602702
W	-11.718615491316584
Ag	-2.0082350922040213
Pd	-4.881966919243549
Ge	-4.131917554026671
Tl	-1.904803606714765
Tc	-9.38100382337229
Zn	-0.756683144747079
Hg	0.12523010675333213
Nb	-9.68745079533096
V	-8.48042612948394
Cs	-1.696207640013399
Zr	-8.663420118774585
Au	-2.7913877427533693
In	-2.155880708326949
Ru	-8.493512025230988
Sr	-2.484944430683993
Na	-1.6295632124513264
Cd	-0.35279820801617134
Se	-3.9136212435426554
Ca	-2.558487238291239
Pb	-3.137252020384922
Sb	-3.7547260260050614
Pt	-5.868168020011733
Os	-10.254427700771203
Mn	-7.949072847456357
Ir	-8.370866831144255
Al	-3.681758996217563
Rb	-1.4997728481733077
As	-4.581296459004656
O	-6.512467604360046
Fe	-7.283109640626675
C	-8.406636504249185
N	-8.501202979961723
H	-3.454080977086414
K	-1.6610929290917467
Te	-3.150823144049413
S	-4.706215238076513
Co	-6.350126384364485
Mo	-9.905321376486278
Cr	-8.523970813655396
Ta	-11.216602488712681
Sc	-6.8649775083439595
Ti	-7.847924180726599
Cl	-3.1952627776795763
Hf	-10.02317234436184
Si	-5.376520967157073
Ni	-4.988388726533416
Re	-11.146388703886489
Rh	-6.889505675017656
Cu	-3.0591543890681097
Bi	-3.4249974890716004
Y	-7.156382319548689
B	-6.126240296817331
P	-5.362434946794549
Sn	-3.4920783207596378
